,muc_id,location,date,text
0,DEV-MUC3-0001,SAN SALVADOR,1990-01-03,"The Arce Battalion command has reported that about 50 peasants of various ages have been kidnapped by terrorists of the Farabundo Marti National liberation front in San Miguel Department . According to that Garrison, the mass kidnapping took place on 30 December in San Luis de la Reina . The source added that the terrorists forced the individuals, who were taken to an unknown location, out of their residences, presumably to incorporate them against their will into clandestine groups . Meanwhile, three subversives were killed and seven others were wounded during clashes yesterday in Usulutan and Morazan departments . The Atonal Battalion reported that one Extremist was killed and five others were wounded during a clash yesterday afternoon near La Esperanza farm, Santa Elena jurisdiction, Usulutan Department . It was also reported that a soldier was wounded and taken to the military hospital in this capital . the same military unit reported that there was another clash that resulted in one dead terrorist and the seizure of various kinds of war materiel near San Rafael farm in the same town . in the country's Eastern region, military detachment No.4 reported that a terrorist was killed and two others were wounded during a clash in La Ranera stream, San Carlos, Morazan Department . An M-16 rifle, cartridge clips, and ammunition were seized there . Meanwhile, the 3D infantry Brigade reported that Ponce Battalion units found the Decomposed body of a subversive in La Finca Hill, San Miguel . An M-16 rifle, five grenades, and material for the production of explosives were found in the same place . The Brigade, which is headquartered in San Miguel, added that the seizure was made yesterday morning . National Guard units guarding the Las Canas bridge, which is on the northern trunk highway in Apopa, this morning repelled a terrorist attack that resulted in no casualties . The armed clash involved mortar and rifle fire and lasted 30 minutes . members of that security group are combing the area to determine the final outcome of the fighting."
1,DEV-MUC3-0002,SAN SALVADOR,1990-01-04,"According to statements made by a Salvadoran officer today, despite the change in the leadership of the Salvadoran Air Force, the Air force will continue its normal activities . The Salvadoran Air Force maintains the same operational level it has had for the last 10 years, despite the removal of its top commander, Jaun Rafael Bustillos, this week . Paratrooper Battalion commander major Rene Rodriguez Hurtado said today that the Air force will continue to obey the orders of the general staff and to maintain a similar operational level .``We know general Villamariona enough to know that we will continue with our Battalion's attacks on all the terrorist criminals' Redoubts . We depend directly on the general staff, since it is the strategic head of the entire Army . The general staff gives us our orders to launch our operations .""major Rodriguez Hurtado today denied that Salvadoran Air Force planes had entered Nicaraguan territory as the Sandinist government said last week . Maj Rodriguez Hurtado said that Salvadoran Air Force planes have never entered the neighboring Teritory of Nicaragua .``I can tell you that those were neither Salvadoran nor Honduran planes . In my opinion, the Sandinists want to invent an excuse to continue helping the Fmln . ours and the Honduran planes are small planes . I do not think that Honduran planes entered Nicaraguan territory . those Communists are trying to invent an excuse to continue helping the Fmln terrorist criminals .""Maj. Rodriguez made these statements during the presentation of a number of weapons confiscated by the paratroopers Battalion on 4 January .``here we have 12 rifles , 11 Ar-15 rifles and 1 Ak-47 rifle; 4,000 cartridges, of which 2,000 are for M-16 machine guns and 2,000 for Ak-47 rifles; 36 cartridges of an unknown caliber--military intelligence has already been informed of this discovery; and I radio of the type used by the leaders of the terrorist groups .""the weapons were found at El Nispero Creek near the Sacamil neighborhood . Among the confiscated weapons were cartridges of unknown make . This is Appparently the first time the Army has found that type of cartridge . Maj Rodriguez Hurtado said that military intelligence will proceed to establish the origin of these cartridges and the weapons for which they are intended."
2,DEV-MUC3-0003,SANTIAGO,1990-01-05,"The government junta yesterday approved a draft bill to``modify law 18314, which defines terrorist activities and establishes penalties .""the bill will restrict the application of the law to the most serious cases and will leave other crimes, that were formerly considered terrorist activity, for trial under common law . The new bill ACCEPTS the possibility in some cases of a prisoner being released on bail or receiving a pardon or amnesty . The bill also establishes other benefits not contemplated by law 18314, including a new proceedings for speedier trials . According to retired General Fernando Torres Silva, who is the Army judge advocate general, the modifications establish lighter sentences, freedom on bail, and possible Pardons or Amnesties . These benefits were not contemplated under the former Antiterrorist law . as an example Torres cited that``sentences of individuals tried as accomplices will be lower . They will receive lower sentences than that previously contemplated .""the new bill will also allow a great number of people who are being tried by the Interior Ministry to go out on bail . According the general attorney's office, more than 1,000 prisoners might benefit from the modifications."
3,DEV-MUC3-0004,CLANDESTINE,1990-01-08,"Goodbye general Rafael Bustillo, false hope for mass killers . Gen. Bustillo resigns or is made to resign as the Air Force chief . because of this, the general is admitting that without the bombing on San Salvador's neighborhoods the Fmln would have defeated the Salvadoran armed forces . Bustillo's resignation is yet another sign of the failure of 10 years of the U.S. Counterinsurgency policy in El Salvador, as became clear with the offensive launched on 10 November . for 10 years the military and their U.S. sponsors based their trust in the air power to drown in blood the aspiration of the nation to achieve democracy and social justice . This first happened in the interior of the country, with the destruction of dozens of towns like Tenancingo, Berlin, Torola, San Fernando, and so many others that took place along with the genocide carried out by the infantry with the mass murders of civilians in El Mosoto, Sunpul, and Ocotapayo . Bustillo is leaving as so many generals and U.S . ambassadors have . and like all of them his departure reveals the imperialist power's failure to consolidate its Counterinsurgency program in El Salvador . As all the others who have left, Bustillo also SEEKS excuses in the face of his failure, by accusing others . He accuses Vides Casanova of being soft in fighting the people's plan . One would have to ask Bustillo if the Air Force, of which he represented its most encouraging pillar, was soft when it murdered 70,000 Salvadorans, Monsignor Arnulfo Romero and the Jesuit priests included, and even when it murdered Patriot officers of that same Army . was the U.S. Pentagon soft when it gave $3 billion, weapons, and bombs for the most cowardly act of genocide Latin America can recall this century? the U.S. strategy, implemented through the top military command in the past 10 years with all its might did all it could so that the permanent rebellion in the rural areas reached the country's vital centers, as indeed happened as of the 10 November offensive . Bustillo States it clearly . The bombing temporarily halted the defeat of the top command . through an act of genocide, it managed to remove the disgruntled people from the neighborhoods where the guerrilla forces were . Bustillo acknowledges genocide is the sole way the armed forces can survive . Bustillo acknowledges the Fmln's strength and therefore urges the armed forces to be tougher and inflexible and rejects a political solution to the conflict . a political solution would express the consensus among the country's major sectors . Obviously the top command represents a decadent minority . Bustillo supports launching a Fascist crusade against the people's wish for democracy . In this effort, he lashes out at the Catholic Church, all opposition sectors that report human rights violations, and all sectors that support Democratizing the country . In conclusion, we say that Bustillo is not resigning of his own volition . The Fmln action eliminated Bustillo as it eliminated Garcia, Vides, and so many other military chiefs who left their posts without fulfilling the task commissioned by the United States: to stop the Fmln . The Fmln offensive Bared the Genocidal, Antipopular, and Fascist nature of the Alfredo Cristiani regime to such an extent that it prompted a strong debate in the United States on cutting military aid . The Jesuits' murders and the bombings so shook the international community that it is pressuring for punishment of the officers involved in these incidents . However, the Bush administration accepted this, since Colonel Rene Emilio Ponce and his clique, even Cristiani, must shoulder this responsibility . We must not forget that in Costa Rica the Salvadoran defense Minister disclosed Cristiani authorized the bombings . Bush needed a scapegoat to place it on the altar of the debates which will begin in the U.S. Congress on the fate of military aid . Bustillo is Bush's scapegoat . However, Bustillo was already a useless element of the murderous machinery that remains active . will the U.S. public and Congress be appeased with this foul tasting candy? time and the spirit of the times are obviously running against the Fascist program in El Salvador . While peoples of the world tear down dogmas, Dictatorships, and walls, Bustillo, who leaves through the door of defeat, asks the armed forces to be tougher, commit more genocide, and build more walls of repression against the church, the people, and the nation as a whole . goodbye, Gen. Bustillo . We continue writing history without you . The decade we begin is of democracy, independence, and self-determination . that is why foreign intervention and the walls of intolerance have a short life span in this country, where the people grow in heroism and the struggle for social change is not deterred by bombings."
4,DEV-MUC3-0005,CLANDESTINE,1990-01-08,"A war bulletin indicates that on 6 January at 1625, Fmln troops clashed with the cavalry company in Finca Santa Elena, Santa Tecla, near San Salvador, killing three and wounding four enemy troops, including the patrol leader who was among those killed . Our troops seized an M-14 rifle from the enemy , 3,000 cartridges for a 7.62-Mm rifle, five Knapsacks, six grenades, and field equipment."
5,DEV-MUC3-0006,SAN SALVADOR,1990-01-09,"The Salvadoran Army today prevented the occupation of cities in the Eastern part of El Salvador, waging strong clashes between midnight and dawn, according to reports by military sources . The attacks, according to the reports, took place in Usulutan, Usulutan Department , 110 km east of the capital, and in Santa Elena where as of 0700 clashes were still under way . Santa Elena is located 119 km east of the capital, and both cities are coffee regions . In Usulutan , 6th Brigade troops and rapid deployment battalions repelled the incursion with artillery fire . During the 2d week of December, there had been strong clashes on the outskirts of Usulutan, in what the guerrillas called the``battle of El Nisperal ,""in the Canton that bears the same name, which cost the Army 29 dead, although it has only admitted to 21 deaths . In Santa Elena the clashes were also strong, but so far there have been no reports of casualties on either side . from San Vicente, in the central part of the country, where the Chichontepec volcano is located, strong clashes were reported, and the 5th Brigade bombed rebel positions on the Colcano, where the Fmln has strong Bastions . The 1ST infantry Brigade is carrying out operations in northern San Salvador . and on the outskirts of the capital this morning powerful explosions, characterized as military actions to prevent rebels from gathering, could be heard . The night before last, there were attempts to enter the capital from that direction . The Army has increased its surveillance to prevent Mobilizations, and through careful searches vehicles are being controlled at the capital city's Entrances and exits . In other actions, the armed forces press committee reported at least six Fmln deaths in various parts of the country . last night there were fewer attacks on stores and electric towers in the capital . There were also threats of power rationing if these actions continued."
6,DEV-MUC3-0007,SANTIAGO,1990-01-09,"The deployment of U.S . ships, including the aircraft carrier``John F. Kennedy""and the Corvette``Virginia""along the Colombian Coast yesterday, seeking to intercept drug trafficking routes, could be the result of three policies: first, that the United States needs to justify the invasion of Panama under the excuse of its fight against drug trafficking . Second, that both the deployment of ships and the invasion of Panama are part of a serious military plan to end the drug plague . Third, that the United States must somehow justify the invasion of Panama and the need to recover its international image has provided a real opportunity to put an end to drug trafficking . If the objective really is to eliminate drugs, then the battle is Praiseworthy, but--like in Panama--the procedure is painful, overbearing, imperialistic, and humiliating . Instead of winning the Latin American countries' appreciation and solidarity with this Laudable cause, the United States is again provoking angry reactions and deep distrust . the side effects of this action could be very negative for the struggle against drug trafficking, in which all the countries of this continent should be cooperating . alternatively, would it be better if they did not cooperate in this phase? could it be that what we have called imperialistic Clumsiness, Insensibility, and abuse, is simply a deliberate strategy with which, perhaps for well founded reasons and even at the risk of diplomatic conflicts, the United States seeks to isolate Latin America on purpose and thus ensure the success of its operation? If this were the case then we must ask, why? from its operations in Panama and Colombia, the United States is telling us that it is not concerned with the diplomatic aspect for the time being . The United States wants action and efficiency . The United States is losing its patience, and perhaps its confidence in the seriousness and capability of Latin America to face this war . If the action in Colombia goes further than a mere surveillance, the United States will be establishing a precedent in this battle against drug trafficking . This means that during a first phase the United States will carry out a military operation by itself . during a second phase it will discuss secondary subjects but with less urgency in the war against drug trafficking . next 15 February, Bush will meet in Cartagena de Indias, Colombia, with his Colombian, Peruvian, and Bolivian counterparts . Perhaps on that occasion they will talk about the other aspects of this war: the reorganization of the local economies to end the dependency on Coca Plantations, the recovery of drug addicts, and the consolidation of governments, etc . During this current phase, however, the United States wishes to act alone . who knows if it is because of Latin America's lack of understanding? as we said a few days ago, the drug trafficking problem is creating new situations in international relations . The U.S. proposal is probably something like: could a world power like the United States continue to ignore a serious problem like the production, distribution, and consumption of drugs, merely to avoid harming Latin American sensibilities, sensibilities of countries whose governments are always Muddled up in useless diplomatic and bureaucratic procedures and fruitless negotiations? and all this while a large part of the developed world's population is becoming addicted to a deadly product? the United States could also be asking itself: have the Latin American governments been able to solve this serious problem by themselves? can those governments stop drug trafficking when it is known that drugs and corruption go hand in hand; when in the past and perhaps in the present, high ranking government officials have been linked with this illegal trade and protecting the Medellin cartel Chiefs? Why, for example, after all this hasn't the Colombian government managed to Extradite the main Chiefs of that cartel to the United States? let us recall the horrible explosion of the Colombian airliner, in which more than 100 people died; the bomb explosion in the secret police headquarters in Bogota; the murder of many journalists who were engaged in an heroic war against drug trafficking; and mainly, let us recall the ever-present difficulties that must be faced when the Medellin cartel Chiefs must be punished and Extradited."
7,DEV-MUC3-0008,BOGOTA,1990-01-09,"Ricardo Alfonso Castellar, Mayor of Achi, in the northern Department of bolivar, who was kidnapped on 5 January, apparently by army of national liberation guerrillas, was found dead today, according to authorities . Castellar was kidnapped on 5 January on the outskirts of Achi, about 850 km north of Bogota, by a group of armed men, who forced him to accompany them to an undisclosed location . police sources in Cartagena reported that Castellar's body showed signs of torture and several bullet wounds . Castellar was kidnapped by ELN guerrillas while he was traveling in a boat down the Cauca River to the Tenche area, a region within his jurisdiction . In Cartagena it was reported that Castellar faced a``revolutionary trial""by the ELN and that he was found guilty and executed . Castellar is the second Mayor that has been murdered in Colombia in the last 3 days . On 5 January, Carlos Julio Torrado, Mayor of Abrego in the Northeastern Department of Santander, was killed apparently by another guerilla column, also belonging to the ELN . Torrado's son, William; Gustavo Jacome Quintero, the departmental government Secretary; and bodyguard Jairo Ortega, were also killed . The group was traveling in a 4-Wheel drive vehicle between Cucuta and the rural area known as Campanario when their vehicle was blown up by four explosive charges that detonated on the highway."
8,DEV-MUC3-0009,MEDELLIN,1990-01-09,"The National Army was involved in New clashes within the past few hours with Farc and the ELN in the rural area of Yondo in Antioquia's middle Magdalena region . spokesmen for the 5th Brigade reported 5 soldiers killed, several wounded, and at least 12 rebel casualties . The exodus of peasants from that region continued to increase today according to official reports . The peasants walked away from their properties to avoid becoming victims of the clashes."
9,DEV-MUC3-0010,LIMA,1990-01-09,"President Alan Garcia has confirmed that the U.S . troops that surrounded our diplomatic mission in Panama were withdrawn after a former Minister Surnamed Cordova left the embassy . The military man, who is involved in a murder trial, left the Peruvian embassy as soon as he learned that the embassy considered him persona non grata . I think journalists have magnified the issue a bit . As far as we know, people sought protection .... someone arrives at the door of the embassy and asks for refuge in view of a situation of force . The situation in Panama is abnormal; it has been totally invaded by 30,000 soldiers . Some persons entered the embassy . at least one of them had been allegedly linked with the death of a Panamanian Minister, a Mr Spadafora, who was murdered . The authorities of the embassy and of the foreign Ministry stated that this person's presence was undesirable . We do not refuse to grant refuge--a condition that is granted before granting political Asylum--to Whomever feels harassed or Mistreated . in a case like this, however, in which there was an alleged involvement in a murder which was committed years ago, this person--I believe he is a man Surnamed Cordova, apparently a Highranking Panamanian guard officer--was told that his presence was not wanted . He left the embassy of his own will . There are other Panamanian defense forces officers at the embassy, including Mr Noriega's Secretary, but their status should be established by Peru . An incident was reported yesterday, as the U.S . troops surrounded the embassy, deploying barriers and barbed wire . There was an attempt to depict a dramatic and spectacular picture of a siege or perhaps of an invasion of the embassy . Fortunately, the foreign Ministry resorted to diplomatic channels and the troops were soon withdrawn."
